exper_data_id	pop_label	data_group_name	data_id	date_str	time_str	exper_duration_s	trackL	n_tracks	mean_nb_tracks	logD	temperature	rel_humidity	location_label	env_label	T12	T13	T21	T23	T31	T32	mean_still	mean_forward	mean_backward
B207-20180611_173916_proc	N2250L578	B207	N2250L578_NGM_B207	20180611	173916	1298.323	119.024275118004	34649	3176.460794859	3.50194349946934	28.1	52	Paris2	NGM	-1.00636901683097	-1.61146818006549	-2.36090732369065	-3.80120120753141	-1.03044452884699	-1.21687376278608	-2.06331073026377	1.56621852282008	-2.75079371606819
B208-20180615_105505_proc	PB250L496	B208	PB250L496_NGM_B208	20180615	105505	1240.674	539.255033557047	241	104.749888437453	2.02015356909872	26.8	41	Paris2	NGM	-1.05612305393436	-2.09693210926387	-1.66816324217468	-5.79051072832288	0.144907674132382	-3.23298901422119	-1.73424797174045	1.62567197398302	-4.22749627231179
B208-20180615_111618_proc	PBancL0	B208	PBancL0_NGM_B208	20180615	111618	1167.658	192.156133828996	6962	1145.70448172108	3.05907261195213	26.7	42	Paris2	NGM	-0.682960155313167	-1.66519281000135	-1.35380132543322	-5.45507853770455	-0.0896806379440192	-2.3167213047372	-1.31798499606337	1.08178869052834	-3.12683176168821
B208-20180615_113614_proc	PB250L483	B208	PB250L483_NGM_B208	20180615	113614	1237.935	107.777256740914	25036	2179.6874632073	3.33839422629492	26.8	41	Paris2	NGM	-0.832593184366369	-1.89775218746954	-2.98440815592029	-4.7833204154695	-1.13423650765003	-0.43619310118277	-3.36654138494888	3.06172788863178	-4.46657139015604
B208-20180615_115723_proc	PB250L490	B208	PB250L490_NGM_B208	20180615	115723	1167.872	129.958934112064	13692	1523.62392955939	3.18287778493534	26.6	42	Paris2	NGM	-0.310442609736069	-1.90785431939109	-2.90023903895918	-6.33139622883371	-0.780393175816761	-2.06600993826898	-3.29025438508472	3.06976998469306	-4.76336889130123
B208-20180615_121730_proc	PB250L494	B208	PB250L494_NGM_B208	20180615	121730	1176.865	125.092730137295	16149	1716.52865790653	3.2346510584852	26.4	42	Paris2	NGM	-0.952614211799156	-1.68630628431942	-2.25251612124049	-5.07304391447557	-0.434373900945311	-1.31231211117473	-2.06592167910979	1.82986017121071	-3.63118291907603
B208-20180615_123732_proc	PB250L464	B208	PB250L464_NGM_B208	20180615	123732	1153.945	131.445973645681	40781	4645.36719795528	3.66702004895243	26.5	42	Paris2	NGM	-0.997231953234942	-2.18888456436441	-2.80494720677088	-4.54435299103394	-1.34798307170896	-1.5763981627032	-2.58283002424845	2.14017293211383	-3.31673730173395
B208-20180615_125711_proc	PB250L406	B208	PB250L406_NGM_B208	20180615	125711	1171.965	716.124373956594	3893	2378.80157497282	3.37635821736792	26.5	43	Paris2	NGM	-2.06427385098979	-2.40282885135542	-0.696299721086657	-4.05002959336107	-0.524944080163314	-2.7366458865134	0.431826884797146	-0.917658368351071	-2.10869154481495
B208-20180615_131709_proc	PB250L484	B208	PB250L484_NGM_B208	20180615	131709	1171.396	94.7451149425287	42385	3428.19311047595	3.53506527779373	26.6	42	Paris2	NGM	-0.806936829401926	-1.98034433946994	-2.79089617744453	-4.05746752249935	-1.48380878500008	-0.313129579119049	-3.12070652957313	2.69161548780286	-3.83190417962948
B208-20180615_133706_proc	N2250L550	B208	N2250L550_NGM_B208	20180615	133706	1166.006	1232.48859934853	506	534.850790879599	2.72823264232846	26.8	42	Paris2	NGM	-2.56481635097569	-3.56427929173337	-0.140650758514701	-2.69941916790834	0.102065782606086	-1.45493447934369	1.0983685501338	-1.25453443232282	-3.54240335884384
